stage-name,dow,bname,gname,gender,dob,dod,role type,picture pointer,notes,award,,,,
Rosemary Camp,,,,F,1913,199x,RU:,Un,,,,,,
Frank Campanella,,,,M,[1],199x,RU:,Un,,,,,,
Joseph Campanella,1961-1972,Campanella,Joseph,M,1927,199x,RU:,Am,,,,,,
Beatrice Campbell,1946-1955,Campbell,Beatrice,F,1923,1980,R:lead,Br,,,,,,
Bill Campbell,1991,Campbell,William O.,M,,199x,R:sr,Am,,,,,,
Cheryl Campbell,,,,F,[1],199x,RU:,Un,,,,,,
Colin Campbell,1915-1960,Campbell,Colin,M,1883,1966,R:diminutive,Br(Scotish),,,,,,
Colin Campbell,1963,Campbell,Colin,M,1937,199x,R:proletarian,Br,,,,,,
Daisy Campbell,,,,F,[1],199x,RU:,Un,,,,,,
Eric Campbell,1916-1917,Campbell,Eric,M,1878,1917,R:bearded heavy,Br(Sc),,,,,,
Glen Campbell,1969-1969,Campbell,Glen,M,1935,199x,R:pop singer,Am,,,,,,
William Campbell,1950-1974,Campbell,William,M,1926,199x,R:personable villain, friend of hero,Am,,,,,
Gianna Maria Canale,1949-1963,Canale,Gianna Maria,F,1927,199x,R:lead,It,,,,,,
John Candy,1981-1989,Candy,John,M,1951,1994,R:fat, obnoxious,Am,,,,,
James Canning,,,,M,[1],199x,RU:,Un,,,,,,
Dyan Cannon,1959-1982,Friesen,Samile Diane,F,1938,199x,R:floozy,Am,,,,,,
Freedy Cannon,,,,M,[1],199x,RU:,Un,,,,,,
J.D. Cannon,1966-1976,Cannon,J.D.,M,1922,199x,R:cold-eyed,Am,,,,,,
Kathy Cannon,,,,F,[1],199x,RU:,Un,,,,,,
Judy Canova,1935-1960,Canova,Juliet,F,1916,1983,R:hillbilly,Am,,,,,,
Cantilene,1919,Cantilène,,[1],UN,Ro(romantic, phlegmatic),Fr,,,,,,
Cantinflas,1941-1959,Moreno,Mario,M,1911,199x,R:clown,Me,,,,,,
Eddie Cantor,1926-1952,Itskowitz,Edward Israel,M,1892,1964,R:rolling-eyed, hight-toned voice, sprightly movement,,,,,
Truman Capote,1976-1976,Capote,Truman,M,1925,199x,R:small,Am,,,,,,
Ahna Capri,,,,F,[1],199x,RU:,Un,,,,,,
Kate Capshaw,1989,,,F,[1],199x,RU:,Un,,,,,,
Capucine,1960-1983,Lefebre,Germaine,F,1933,1990,R:lean and elegant,Fr,,,,,,
Irene Cara,,,,F,[1],199x,RU:,Un,,,,,,
Richard Cardella,,,,M,[1],199x,RU:,Un,,,,,,
Pat Cardi,,,,,[1],199x,RU:,Un,,,,,,
Claudia Cardinale,1958-1982,Cardinale,Claudia,F,[1]1939,199x,R:lead,It,,,,,,
Arthur Carewe,,,,M,[1],199x,RU:,Un,,,,,,
Harry Carey,1911-1946,Carey,Harry,M,1878,1947,R:lead westerns,Am,,,,,,
Harry Carey jr.,1947-1982,Carey jr.,Harry,M,,199x,R:light westerns,Am,,,,,,
Joyce Carey,1921-1974,Lawrence,Joyce,F,1898,199x,R:upper-class lady,Br,,,,,,
Leonard Carey,1940-1940,Carey,Leonard,M,1893,1977,R:character,Br,,,,,,
MacDonald Carey,1942-1960,Carey,MacDonald,M,1913,199x,R:sympathetic goo guy,Am,,,,,,
Phil Carey,1951-1976,Carey,Philip,M,1925,199x,R:rugged, good-humored, senior officer,Am,,,,
Ron Carey,,,,M,[1],199x,RU:,Un,,,,,,
Timothy Carey,1952-1973,Carey,Timothy,M,1925,199x,R:heavy-eyed, loathsome villain,Am,,,,,
Patrick Cargill,1960-1983,Cargill,Patrick,M,1918,199x,R:impeccable, farce,Br,,,,,
Tim Carhart,,,,M,[1],199x,RU:,Un,,,,,,
Leo Carillo,,,,M,[1],199x,RU:,Un,,,,,,
George Carlin,,,,M,[1],199x,RU:,Un,,,,,,
Anne Carlisle,,,,F,[1],199x,RU:,Un,,,,,,
Kitty Carlisle,1934-1993,Conn Holzman,Catherine,F,1915,199x,R:singer,Am,,,,,,
Johanna Carlo,,,,F,[1],199x,RU:,Un,,,,,,
Charles Carlson,,,,M,[1],199x,RU:,Un,,,,,,
Karen Carlson,,,,F,[1],199x,RU:,Un,,,,,,
Moose Carlson,,,,M,[1],199x,RU:,Un,,,,,,
Richard Carlson,1938-1969,Carlson,Richard,M,,199x,R:juvenile,Am,,,,,,
Ingmari Carlssen,,,,F,[1],199x,RU:,Un,,,,,,
Pamela Carme,,,,F,[1],199x,RU:,Un,,,,,,
Julie Carmen,,,,F,[1],199x,RU:,Un,,,,,,
Hoagy Carmichael,1944-1962,Carmichael,Hoagland Howard,M,1899,1981,R:slow-speaking,Am,,,,,,
Ian Carmichael,1954-1979,Carmichael,Ian,M,1920,199x,R:nervous novices,Br,,,,,,
Tullio Carminati,1926-1963,Carminati de Brambilla,Count Tullio,M,1894,1971,R:romantic,It,,,,,,
Judy Carne,1963-1972,Carne,Judy,F,1939,199x,R:`sock it to me',Br,,,,,,
Art Carney,1941-1981,Carney,Art,M,1918,199x,R:comedy,Am,,,,,,
George Carney,1934-1947,Carney,George,M,1887,1947,R:character,Br,,,,,,
Angela Carnon,,,,F,[1],199x,RU:,Un,,,,,,
Morris Carnovsky,1937-1974,Carnovsky,Morris,M,1897,1992,R:jewish characters, villains,Am,,,,,
Martine Carol,1948-1966,Mourer,Maryse,F,1922,1967,R:undressed roles,Fr,,,,,,
Sue Carol,1927-1937,Lederer,Evelyn,F,1907,1982,R:lead,Am,,,,,,
Leslie Caron,1951-1980,Caron,Leslie,F,1931,199x,R:pixie dancer,Fr,,,,,,
Horace Carpenter,,,,M,[1],199x,RU:,Un,,,,,,
Linda Carpenter,,,,F,[1],199x,RU:,Un,,,,,,
Carpin,,,,,[1],199x,RU:,Un,,,,,,
Carol Carr,,,,F,[1],199x,RU:,Un,,,,,,
Darleen Carr,1966-1977,Carr,Darleen,F,,199x,R:lead,Am,,,,,,
Mary Carr,1919-1956,Carr,Mary,F,1874,1973,R:character,Am,,,,,,
Paul Carr,,,,M,[1],199x,RU:,Un,,,,,,
Bruce Carradine,,,,M,[1],199x,RU:,Un,,,,,,
David Carradine,1967-1982,Carradine,John Arthur,M,1940,199x,R:lanky sad-eyed,Am,,,,,,
John Carradine,1930-1983,Carradine,Richmond Reed,M,1906,1988,R:gaunt,Am,,,,,,
Keith Carradine,1971-1997,Carradine,Keith,M,1945,199x,R:lead, singer,Am,,,,,
Robert Carradine,1972-1983,Carradine,Robert,M,1954,199x,R:lead,Am,,,,,,
Barbara Carrera,1970-1983,Carrera,Barbara,F,1945,199x,R:smouldering,Am,,,,,,
Jim Carrey,1994,Carrey,Jim,M,[1],199x,R:ubber-lipped comedian,,,,,,,
Matthew Carriere,,,,M,[1],199x,RU:,Un,,,,,,
Pat Carrol,,,,,[1],199x,RU:,Un,,,,,,
Regina Carrol,,,,F,[1],199x,RU:,Un,,,,,,
John Carroll,1929-1959,LaFaye,Julian,M,1906,1979,R:singer,Latin-Am,,,,,,
Leo G. Carroll,1934-1966,Carroll,Leo G.,M,1892,1972,R:dry-faced professionals,Br,,,,,,
Madeleine Carroll,1928-1949,O'Carrol,FN{Marie Madelaine Bernadette,F,1906,1987,R:well-bred,Br,,,,,,
Nancy Carroll,1927-1938,LaHiff,Ann,F,1905,1965,R:musical,Am,,,,,,
Regina Carroll,1969,Carrol,Regina,F,,,R:busty,Am,,,,,,
Charles Carson,1932-1960,Carson,Charles,M,1898,1977,R:distinguished old gentlemen,Br,,,,,,
Jack Carson,1937-1962,Carson,Jack,M,1910,1963,R:beefy comic,Ca,,,,,,
John Carson,1967-1972,Carson,John David,M,1927,199x,R:James Mason-like voice,Br,,,,,,
Kit Carson,,,,M,[1],199x,RU:,Am,,,,,,
Ann Carter,1942-1949,Carter,Ann,F,1936,199x,R:child star,Am,,,,,,
Ben Carter,1939-1946,Carter,Ben,M,1911,1947,R:character,Am,,,,,,
Helena Carter,1946-1953,Rickerts,Helen,F,1923,199x,R:lead,Am,,,,,,
Helena Bonham Carter,1986-1992,Carter,Helena (Helly) Bonham,F,1966,199x,R:upper crust lead,Br,,,,,,
Jack Carter,1962-1964,Chakrin,John,M,1922,199x,R:comic,Am,,,,,,
Jim Carter,,,,M,[1],199x,RU:,Un,,,,,,
Lydia Carter,,,,F,[1],199x,RU:,Un,,,,,,
Lynda Carter,,,,F,[1],199x,RU:,Un,,,,,,
T.K. Carter,,,,M,[1],199x,RU:,Un,,,,,,
Veronica Cartwright,1977-1979,Cartwright,Veronica,F,1949,199x,R:lead,Am,,,,,,
Anthony Caruso,1940-1970,Caruso,Anthony,M,1913,199x,R:menace,Am,,,,,,
Louise Carver,1923-1935,Murray,Louise Spilger,F,1898,1956,R:character,Am,,,,,,
Maria Casares,1943-1976,Quiroga,Maria Casarès,F,1922,1996,R:dark-eyed, solemn,Fr-Sp,,,,,
Bernie Casey,1969-1977,Casey,Bernie,M,,199x,R:character,Am,,,,,,
Johnny Cash,1962-1970,Cash,Johnny,M,1932,199x,R:folk singer,Am,,,,,,
Rosalind Cash,1971-1976,Cash,Rosalind,F,1945,199x,R:lead,Am,,,,,,
John Cassavetes,1954-1983,Cassavetes,John,M,1929,1989,R:intense,Am,,,,,,
JeanPierre Cassel,1960-1975,Crochon,Jean-Pierre,M,1932,199x,R:lead,Fr,,,,,,
Seymour Cassel,1961-1979,Cassel,Seymour,M,1935,199x,R:character,Am,,,,,,
Jack Cassidy,1965,Cassidy,Jack,M,,1968,R:hitman,Un,,,,,,
Joanna Cassidy,1973-1982,Cassidy,Joanna,F,1944,199x,R:lead,Am,,,,,,
Ted Cassidy,1964-1977,Cassidy,Ted,M,1932,1979,R:character,Am,,,,,,
JeanPierre Castaldi,,,,M,[1],199x,RU:,Un,,,,,,
Richard Castellano,1969-1972,Castellano,Richard,M,1931,199x,R:fat,It-Am,,,,,,
William Castle,1974-1975,Schloss,William,M,1914,1977,R:gimmicky,Am,,,,,,
Phoebe Cates,1982-1994,Cates,Phoebe,F,1963,199x,R:cute, with it,Am,,,,,
Walter Catlett,1924-1956,Catlett,Walter,M,1889,1960,R:flustered gestures,Am,,,,,,
Kim Cattrall,,,,F,[1],199x,RU:,Un,,,,,,
Joan Caulfield,1946-1968,Caulfield,Joan,F,1922,1991,R:demure,Am,,,,,,
Olimpia Cavalli,,,,F,[1],199x,RU:,Un,,,,,,
Paul Cavanagh,1929-1959,Cavanagh,Paul,M,1895,1964,R:suave,Br,,,,,,
Hobart Cavanaugh,1927-1950,Cavanaugh,Hobart,M,1886,1950,R:mild-mannered,Am,,,,,,
Dick Cavett,,,,M,[1],199x,R:debonair,Am,,,,,,
Joseph Cawthorn,1927-1942,Cawthorn,Joseph,M,1868,1949,R:character,Am,,,,,,
John Cazale,1972-1978,Cazale,John,M,1936,1978,R:character,Am,,,,,,
Christopher Cazenove,,,,M,[1],199x,RU:,Un,,,,,,
Adolfo Celi,1950-1982,Celi,Adolfo,M,1922,199x,R:solidly-built,It,,,,,,
Gino Cervi,1934-1964,Cervi,Gino,M,1901,1974,R:stocky,It,,,,,,
Renzo Cesana,,,,M,[1],199x,RU:,Un,,,,,,
June Chadwick,,,,F,[1],199x,RU:,Un,,,,,,
George Chakiris,1954-1980,Chakiris,George,M,1933,199x,R:lead,Am,,,,,,
William Challee,,,,M,[1],199x,RU:,Un,,,,,,
Richard Chamberlain,1960-1983,Chamberlain,Richard,M,1935,199x,R:boyish,Am,,,,,,
Wilt Chamberlain,,,,M,[1],199x,RU:,Un,,,,,,
Marilyn Chambers,,,,F,[1],199x,RU:,Un,,,,,,
Marge Champion,1939-1968,Belcher,Majorie,F,1923,199x,R:dancer,Am,,,,,,
Jackie Chan,1983-1988,Chan,Jack,M,[1],199x,R:cop,,,,,,,
Chick Chandler,1933-1963,Chandler,Chick,M,1905,199x,R:wiry,Am,,,,,,
George Chandler,1930-1971,Chandler,George,M,1902,199x,R:sly, comically nervous,Am,,,,,
Helen Chandler,1927-1937,Chandler,Helen,F,1909,1965,R:lead,Am,,,,,,
Jeff Chandler,1947-1961,Grossel,Ira,M,1918,1961,R:lead,Am,,,,,,
Joan Chandler,1947-1949,Chandler,Joan,F,1923,1979,R:lead,Am,,,,,,
John Davis Chandler,1961-1977,Chandler,John Davis,M,1937,199x,R:neurotic, twitching villain,Am,,,,,
Simon Chandler,,,,M,[1],199x,RU:,Un,,,,,,
Lon Chaney,1914-1930,Chaney,Alonzo,M,1883,1930,R:macabre, distorted,Am,,,,,
Lon Chaney jr.,1932-1968,Chaney,Creighton,M,1906,1973,R:massive,Am,,,,,,
Carol Channing,,Channing,Carol,F,1921,199x,R:vivacious,Am,,,,,,
Margo Channing,,,,F,[1],199x,RU:,Un,,,,,,
Stockard Channing,1973-1983,Channing,Susan,F,1944,199x,R:tomboy,Am,,,,,,
Charlie Chaplin,1914-1966,Chaplin,Sir Charlie,M,1889,1977,R:tramp,Br,,,,,,
Esme Chaplin,,,,F,[1],199x,RU:,Un,,,,,,
Geraldine Chaplin,1965-1982,Chaplin,Geraldine,F,1944,199x,RU:,Am,,,,,,
Josephine Chaplin,,,,F,[1],199x,RU:,Un,,,,,,
Oona Chaplin,,,,F,[1],1991,RU:,Un,,,,,,
Sydney Chaplin,1952-1970,Chaplin,Sydney,M,1926,199x,RU:,Un,,,,,,
Edward Chapman,1929-1964,Chapman,Edward,M,1901,1977,R:corrupt aldermen,Br,,,,,,
Geraldine Chapman,,,,F,[1],199x,RU:,Un,,,,,,
Graham Chapman,1978-1983,Chapman,Graham,M,,1989,R:character,Br,,,,,,
Lonny Chapman,1954-1979,Chapman,Lonny,M,,199x,R:character,Am,,,,,,
Marguerite Chapman,1940-1961,Chapman,Marguerite,F,1916,199x,R:dependable,Am,,,,,,
Cyd Charisse,1943-1972,Finklea,Tula Ellice,F,1921,199x,R:long-legged,Am,,,,,,
Bobby H. Charles,,,,M,[1],199x,RU:,Un,,,,,,
Ray Charles,1965,Robinson,Ray Charles,M,1930,199x,R:blind musician,Am,,,,,,
Ian Charleson,1981-1982,Charleson,Ian,M,,1990,R:lead,Br,,,,,,
Henri Charrieri,,,,M,[1],199x,RU:,Un,,,,,,
Spencer Charters,1923-1942,Charters,Spencer,M,1878,1943,R:rural fellow,Am,,,,,,
Charlie Chase,1929-1940,Parrott,Charles,M,1893,1940,R:toothbrush-moustached comedian,Am,,,,,,
Chevy Chase,1976-1983,Chase,Chevy,M,1949,199x,R:light lead,Am,,,,,,
Stephen Chase,,,,M,[1],199x,RU:,Un,,,,,,
Martine Chassaing,,,,F,[1],199x,RU:,Un,,,,,,
Marvin Chatinover,,,,M,[1],199x,RU:,Un,,,,,,
Soumitra Chatterjee,1960,Chatterjee,Soumitra,M,19bb,1998,R:romatic lead,In dia (Bengali),,,,,,
Ruth Chatterton,1928-1938,Chatterton,Ruth,F,1893,1961,R:dignified,Am,,,,,,
Chubby Checker,1962-1962,Evans,Ernest,M,1941,199x,R:singer,,,,,,,
Michael Chekhov,1944-1954,Chekhov,Michael,M,1891,1955,R:dramatic,Ru,,,,,,
Joan Chen,,,,F,[1],199x,RU:,Un,,,,,,
Cher,1968-1983,Sarkisian,Cherilyn,F,1946,199x,R:pop singer,Am,,,,,,
Patrice Chereau,,,,F,[1],199x,RU:,Un,,,,,,
Nicolai Cherkassov,1937-1954,Cherkassov,Nicolai,M,1903,1966,R:lead,Ru,,,,,,
Virginia Cherrill,1931-1935,Cherrill,Virginia,F,1908,199x,R:lead,Am,,,,,,
Arthur Chesney,,,,M,[1],199x,RU:,Un,,,,,,
Helen Chester,,,,F,[1],199x,RU:,Un,,,,,,
Leslie Cheung,dow,Cheung,Leslie,M,,199x,R:androgenous,HK,,,,,,
Anne Chevalier,1931,Reri,none,F,1915+,1975,R:exotic,Ta,,,,,,
Maurice Chevalier,1929-1967,Chevalier,Maurice,M,1888,1972,R:debonair,Fr,,,,,,
Walter Chiari,1951-1972,Annichiarico,Walter,M,1924,1991,R:comic,It,,,,,,
Sonny Chiba,,,,M,[1],199x,RU:,Un,,,,,,
Lois Chiles,1973-1979,Chiles,Lois,F,1950,199x,R:lead,Am,,,,,,
Eric Chitty,1940-1977,Chitty,Eric,M,,199x,R:crotchety little men,Br,,,,,,
Rae Dawn Chong,1982,,,F,1961,199x,RU:,Un,,,,,,
Shelby Chong,,,,,[1],199x,RU:,Un,,,,,,
Thomas Chong,,,,M,[1],199x,RU:,Un,,,,,,
Sarita Choudhury,1992-1993,Choudhury,Sarita,F,[1],199x,R:beauty,,,,,,,
Navin Chowdhury,,,,M,[1],199x,RU:,Un,,,,,,
Linda Cristian,1963,,,F,,199x,R:two-timing chesty,Un,,,,,,
Suzanne Christian,,,,F,,199x,RU:,Un,,,,,,
Audrey Christie,1952-1973,Christie,Audrey,F,1912,199x,R:Tough lady,Am,,,,,,
Julie Christie,1962-1983,Christie,Julie,F,1940,199x,R:striking,Br,,,,,,
Dave Dennis Christopher,1977-1982,Christopher,Dennis,M,1955,199x,R:lead,Am,,,,,,
Kay Christopher,,,,M,[1],199x,RU:,Un,,,,,,
William Christopher,,,,M,,199x,RU:,Un,,,,,,
International Chrysis,1993,bn,William,M,1951,1990,R:beuitiful, exuberant transvestite,Am,,,,,
Berton Churchill,1924-1940,Churchill,Berton,M,1876,1940,R:forceful,Ca,,,,,,
Sarah Churchill,1951,Churchill,Sarah, Lady Audley,F,,1982,RU:,Br,,,,,
Eduardo Cianelli,1933-1969,Cianelli,Eduardo,M,1887,1969,R:finely etched features, incisive speech,It,,,,,
Diane Cilento,1952-1982,Cilento,Diane,F,1933,199x,R:versatile,Au,,,,,,
Michael Cimino,,Cimino,Michael,M,1940,199x,RU:,Un,,,,,,
Augusta Ciolli,,,,F,[1],199x,RU:,Un,,,,,,
Audrey Claire,,,,F,[1],199x,RU:,Un,,,,,,
Ina Claire,1915-1943,Fagan,Ina,F,1892,1985,RU:,Am,,,,,,
Jimmy Clanton,,,,M,[1],199x,RU:,Un,,,,,,
Gordon Clapp,,,,M,[1],199x,RU:,Un,,,,,,
Eric Clapton,,,,M,[1],199x,RU:,Un,,,,,,
Mary Clare,1924-1959,Clare,Mary,F,1894,1970,R:matron,Br,,,,,,
O.B. Clarence,1914-1947,Clarence,O.B.,M,1870,1955,R:benevolent doddering,Br,,,,,,
D. Greydon Clark,,,,M,[1],199x,RU:,Un,,,,,,
Candy Clark,1973-1983,Clark,Candy,F,1949,199x,R:lead,Am,,,,,,
Cliff Clark,,Clark,Cliff,M,1893,1953,R:stocky tough policeman,Am,,,,,,
Dane Clark,1943-1973,Zanville,Bernard,M,1913,199x,R:tough,Am,,,,,,
Ernest Clark,1949-1968,Clark,Ernest,M,1912,199x,R:tight-lipped,Br,,,,,,
Fred Clark,1947-1968,Clark,Fred,M,1914,1968,R:bald explosive,Am,,,,,,
Ken Clark,1956-1965,Clark,Ken,M,,199x,R:tough,Am,,,,,,
Marguerite Clark,1914-1921,Clark,Marguerite,F,1883,1940,R:plucky waif,Am,,,,,,
Petula Clark,1944-1981,Clark,Petula,F,1932,199x,R:singer,Am,,,,,,
Susan Clark,1967-1975,Clark,Susan,F,1940,199x,R:lead,Ca,,,,,,
Mae Clarke,1929-1967,Klotz,Mary,F,1910,1992,R:pert gun moll,Am,,,,,,
Caitlin Clarke,,,,M,[1],199x,RU:,Un,,,,,,
Sharon D. Clarke,,,,F,[1],199x,RU:,Un,,,,,,
Warren Clarke,,,,M,[1],199x,RU:,Un,,,,,,
D.A. ClarkeSmith,1930-1956,Clarke-Smith,D.A.,M,1888,1959,R:character,Br,,,,,,
Jill Clayburgh,1969-1983,Clayburgh,Jill,F,1945,199x,R:lead,Am,,,,,,
Ethel Clayton,1912-1939,Clayton,Ethel,F,1884,1966,R:silent star,Am,,,,,,
John Cleese,1968-1997,Cleese,John,M,1939,199x,R:tall bewildered,Br,,,,,,
Pierre Clementi,1963-1978,Clementi,Pierre,M,1941,199x,R:lead,Fr,,,,,,
John Clements,1929-1942,Clements,Sir John,M,,1988,R:lead,Br,,,,,,
David Clendinning,,,,M,[1],199x,RU:,Un,,,,,,
David Clennon,,,,M,[1],199x,RU:,Un,,,,,,
Corinne Clery,,,,F,[1],199x,RU:,Un,,,,,,
Jimmy Cliff,,,,M,[1],199x,RU:,Un,,,,,,
Montgomery Clift,,Clift,Montgomery,M,1920,1966,R:introspective romantic,Am,,,,,,
Colin Clive,1930-1937,Greig,Clive,M,1898,1937,R:fraught, serious,Br,,,,,
E.E. Clive,1933-1940,Clive,E.E.,M,1879,1940,R:amiable sour-faced,Br,,,,,,
Al Cliver,,,,M,[1],199x,RU:,Un,,,,,,
George Clooney,-1997,Clooney,George,G,dob,199x,RU:,Un,,,,,,
Rosemary Clooney,1953-1954,Clooney,Rosemary,F,1928,199x,R:breezy singer,Am,,,,,,
Glenn Close,1982-1989,Close,Glenn,F,1947,199x,R:wicked,Am,,,,,,
Raymond Cloutier,,,,M,[1],199x,RU:,Un,,,,,,
Suzanne Cloutier,1946-1961,Cloutier,Suzanne,F,1927,199x,R:lead,Fr-Ca,,,,,,
Vera Clouzot,,Clouzot,Vera,F,1921,1960,RU:,Portugese,,,,,,
Jennifer Cluff,,,,F,[1],199x,RU:,Un,,,,,,
Alec Clunes,1940-1962,Clunes,Alec,M,1912,1970,RU:,Br,,,,,,
Andy Clyde,1928-1965,Clyde,Andy,M,1892,1967,R:acrobatic,Br; Scots,,,,,,
June Clyde,,,,F,[1],199x,RU:,Un,,,,,,
Lee J. Cobb,1937-1975,Jacoby,Leo,M,1911,1976,R:powerful,Am,,,,,,
Charles Coburn,1933-1960,Coburn,Charles,M,1877,1961,R:crusty benevolence,Am,,,,,,
James Coburn,1959-1983,Coburn,James,M,1928,199x,R:lithe movement, easy grin,Am,,,,,
Steve Cochran,1945-1965,Cochran,Robert,M,1917,1965,R:good-looking heavy,Am,,,,,,
James Coco,1964-1981,Coco,James,M,1928,1987,R:chubby comic,Am,,,,,,
Ann Codee,1935-1959,Codee,Ann,F,1890,1961,R:middle-aged roles,Am,,,,,,
Lew Cody,1924-1934,Louis,Cote,,1884,1934,R:smartly dressed,Am,,,,,,
George Coe,,,,M,[1],199x,RU:,Un,,,,,,
Peter Coe,1969-1969,Coe,Peter,M,1929,199x,RU:,Br,,,,,,
Tristam Coffin,1941-1956,Coffin,Tristam,M,,199x,RU:,Am,,,,,,
George M. Cohan,1932-1955,Cohan,George M.,M,1878,1942,R:dapper,Am,,,,,,
Mindy Cohen,,,,F,[1],199x,RU:,Un,,,,,,
Nicholas Colasanto,,,,M,[1],199x,RU:,Un,,,,,,
Claudette Colbert,1928-1961,Chauchoin,Lily Claudette,F,1905,1996,R:smart emancipated,Fr,,,,,,
Mabel Colcord,,,,F,[1],199x,RU:,Un,,,,,,
George Cole,1941-1984,Cole,George,M,1925,199x,R:befuddled innocent,Br,,,,,,
Nat King Cole,1953-1965,Coles,Nathaniel,M,1919,1965,RU:,Am,,,,,,
Rosalie Cole,,,,F,[1],199x,RU:,Un,,,,,,
Robert Coleby,,,,M,[1],199x,RU:,Un,,,,,,
Charles Coleman,1885-1951,Coleman,Charles,M,1885,1951,R:perfect portly butler,Au,,,,,,
Dabney Coleman,1966-1983,Coleman,Dabney,M,,199x,R:the heavy,Am,,,,,,
Gary Coleman,1981-1982,Coleman,Gary,M,1968,199x,RU:,Am,,,,,,
Nancy Coleman,1942-1968,Coleman,Nancy,F,1917,199x,R:timid,Un,,,,,,
David Colin jr.,,,,M,[1],199x,RU:,Un,,,,,,
Jean Colin,1930-1954,Colin,Jean,F,1905,199x,R:lead,Br,,,,,,
Bonar Colleano,1945-1958,Sullivan,Bonar,M,1924,1958,R:wise-cracking,Am,,,,,,
Kenneth Colley,,,,M,[1],199x,RU:,Un,,,,,,
Constance Collier,1916-1950,Hardie,Laura Constance,F,1878,1955,R:excentric lady,Br,,,,,,
Dan Collier,,,,M,[1],199x,RU:,Un,,,,,,
John Collier,1968-1972,Collier,John,M,1931,199x,R:character,Br,,,,,,
Lois Collier,1938-1958,Jones,Madelyn,F,1919,199x,R:weird woman,Am,,,,,,
Patience Collier,1970-1981,Collier,Patience,F,[1],1987,RU:,Un,,,,,,
William Collier,1931-1941,Senior,William,M,1866,1944,R:comic,Am,,,,,,
Patricia Collinge,1923-1964,Collinge,Patricia,F,1892,1974,R:old lady,Ir,,,,,,
Cora Sue Collins,1933-1938,Collins,Cora Sue,F,1927,199x,R:child star,Am,,,,,,
Eddie Collins,1938-1940,Collins,Eddie,M,1884,1940,R:character,Am,,,,,,
Joan Collins,1952-1982,Collins,Joan,F,1933,199x,R:sultry,Br,,,,,,
Lewis Collins,1982-1982,Collins,Lewis,M,1946,199x,R:lead,Br,,,,,,
Phil Collins,,,,M,[1],199x,RU:,Un,,,,,,
Ray Collins,1940-1961,Collins,Ray,M,1890,1965,R:uncles and bosses,Am,,,,,,
Pauline Collins,-1989,Collins,Pauline,F,1940,199x,R:hang loose,Br,,,,,,
Roberta Collins,,,,F,[1],199x,RU:,Un,,,,,,
Russell Collins,1949-1964,Collins,Russell,M,1897,1965,R:hard guy,Am,,,,,,
June Collyer,1927-1953,Heermance,Dorothy,F,1891,1958,R:light lead,Am,,,,,,
Richard Colman,1919-1957,Colman,Richard,M,1891,1958,R:romantic,Br,,,,,,
Ronald Colman,1919-1957,Colman,Ronald,M,1891,1958,R:gentle manners,Br,,,,,,
Scott Colomby,,,,M,[1],199x,RU:,Un,,,,,,
Miriam Colon,,,,F,[1],199x,RU:,Un,,,,,,
Willie Colon,,,,M,[1],199x,RU:,Un,,,,,,
Jerry Colonna,1938-1958,Colonna,Jerry,M,1903,1986,R:high-pitched voice, walrus moustache, bulging eyes,Am,,,,
Tita Colorado,,,,F,[1],199x,RU:,Un,,,,,,
Norman Combes,,,,M,[1],199x,RU:,Un,,,,,,
Frederick Combs,,,,M,[1],199x,RU:,Un,,,,,,
Anjanette Comer,1965-1977,Comer,Anjanette,F,1942,199x,R:lead,,,,,,,
Dorothy Comingore,1938-1951,Winters,Kay or Linda,F,1913,1971,R:wife,Am,,,,,,
The Commodores,,,,G,[1],199x,RU:,Un,,,,,,
Betty Compson,1919-1948,Compson,Betty,F,1896,1974,R:lead,Am,,,,,,
Fay Compton,1914-1970,Compton,Fay,F,,199x,RU:,Br,,,,,,
Joyce Compton,1926-1951,Hunt,Eleanor,F,1907,199x,R:light second lead,Am,,,,,,
Oliver Conant,,,,M,[1],199x,RU:,Un,,,,,,
Jeff Conaway,1971-1982,Conaway,Jeff,M,1950,199x,R:general purpose,Am,,,,,,
Chester Conklin,1924-1967,Cowles,Jules,M,1888,1971,R:silent slapstick,Am,,,,,,
Jimmy Conlin,1933-1959,Conlin,Jimmy,M,1884,1962,R:bird-like,Am,,,,,,
Didi Conn,,,,F,[1],199x,RU:,Un,,,,,,
Betty Connell,,,,F,[1],199x,RU:,Un,,,,,,
Chris Connelly,1972-1974,Connelly,Christopher,M,,199x,R:light lead,Am,,,,,,
Jenifer Connelly,,,,F,[1],199x,RU:,Un,,,,,,
Neil Connery,1966-1970,Connery,Neil,M,1938,199x,R:lead,Br,,,,,,
Sean Connery,1957-1999,Connery,Thomas,M,1929,199x,R:virile,Br; Scots,,,,,,
Walter Connolly,1932-1939,Connolly,Walter,M,1887,1940,R:rasping millionaire, choleric editor,Am,,,,,
Kenneth Connor,1953-1978,Connolly,Kenneth,M,1918,199x,R:nervous or shy comic,Br,,,,,,
Chuck Connors,,Connors,Kevin,M,1937,1992,R:tough guy, thin smile,Am,,,,,
Michael Connors,1952-1981,Ohanian,Krekor,M,1925,199x,R:action hero,Am,,,,,,
Mike Connors,,1952-1981,Ohanian,Krekor,M,1925,R:UN, action hero,Am,,,,,
Touch Connors,,1952-1981,Ohanian,Krekor,M,1925,R:UN, action hero,Am,,,,,
