AA,title,actor,type,role
AMa61,Around the World Under the Sea,Shirley Eaton,Und,RU:
AMa61,Around the World Under the Sea,Brian Kelly,Und,RU:
AMa61,Around the World Under the Sea,David McCallum,Und,RU:
AMa61,Around the World Under the Sea,Keenan Wynn,Und,RU:
AMa61,Around the World Under the Sea,Marshall Thompson,Und,RU:
AMa61,Around the World Under the Sea,Gary Merritt,Und,RU:
AMD3,The Snow Devils,Jack Stuart,Und,RU:
AMD3,The Snow Devils,Amber Collins,Und,RU:
AMD3,The Snow Devils,Rene Baldwin,,Und
AMD3,The Snow Devils,Wilbert Bradley,Und,RU:
AMD3,The Snow Devils,Giacomo RossiStuart,Und,RZ
AMD3,The Snow Devils,Ombretta Colli,Und,RZ
AMD10,TZ:The Rip Off,Lee VanCleef,Und,RU:
AMD10,TZ:The Rip Off,Karen Black,Und,RU:
AMD10,TZ:The Rip Off,Edward Albert,Und,RU:
AMD10,TZ:The Rip Off,Robert Alda,Und,RU:
AMD10,TZ:The Rip Off,Lionel Stander,Und,RU:
AMD13,TZ:The Stranger and the Gunfighter,Lee VanCleef,Und,RU:
AMD13,TZ:The Stranger and the Gunfighter,Lo Lieh,Und,RU:
AMD16,"TZ:Yor, the Hunter from the Future",Reb Brown,Und,R:prehistoric man
AMD16,"TZ:Yor, the Hunter from the Future",Corinne Clery,Und,RU:
AMD16,"TZ:Yor, the Hunter from the Future",John Steiner,Und,RU:
AMD16,"TZ:Yor, the Hunter from the Future",Carole Andre,Und,RU:
AMy3,Steelyard Blues,Donald Sutherland,Und,"R:free-thinking demolition driver, refits a PBY Catalina"
AMy3,Steelyard Blues,Jane Fonda,Und,"R:fancy hooker, goes for freedom"
AMy3,Steelyard Blues,Peter Boyle,Und,R:mental case
AMy3,Steelyard Blues,Gordon Goodrow,Und,RU:
AMy3,Steelyard Blues,Howard Hesseman,Und,RU:
AMy3,Steelyard Blues,John Savage,Und,RU:
AMy3,Steelyard Blues,Melvin Stewart,Und,RU:
AMy3,Steelyard Blues,Richard Schaal,Und,RU:
AMe10,TZ:Private Lessons,Sylvia Kristel,Und,R:sexy housekeeper
AMe10,TZ:Private Lessons,Howard Hesseman,Und,RU:
AMe10,TZ:Private Lessons,Eric Brown,Und,"R:shy boy, seduced by housekeeper"
AMe10,TZ:Private Lessons,Ed Begley jr,Und,RU:
AMe10,TZ:Private Lessons,Pamela Bryant,Und,RU:
AMe18,Police Academy 5,G.W. Bailey,Und,"R:ambitious luitenant ""Harris"""
AMe18,Police Academy 5,David Graf,Und,"R:nervous cop ""Tackleberry"""
AMe18,Police Academy 5,George Gaynes,Und,"R:aging commandant, kidnapped, extended ""Lasard"""
AMe18,Police Academy 5,s a,Und,"R:tall black cop, saves dean"
AMe18,Police Academy 5,Bubba Smith,Und,"R:captain, saves Harris ""Hightower"""
AMe18,Police Academy 5,George R. Robertson,Und,RU:
AMe18,Police Academy 5,Michael Winslow,Und,"R:sound artist ""Jones"""
AMe18,Police Academy 5,Leslie Easterbrook,Und,"R:trainee ""Callahan"""
AMe18,Police Academy 5,Janet Jones,Und,"R:policewoman, fends cop off ""Kate"""
AMe18,Police Academy 5,James Hampton,Und,R:mayor
AMe18,Police Academy 5,Lance Kinsey,Und,"R:dumb cop, cousin ""Proctor"""
AMe18,Police Academy 5,Matt McCoy,Und,"RN:""Nick"""
AMe18,Police Academy 5,Rene Auberjonois,Und,"RN:""Tony"""
AMe18,Police Academy 5,James Hampton,Und,R:mayor of Miami
AMe18,Police Academy 5,Marion Ramsey,Und,"RN:""Hanks"""
AMe18,Police Academy 5,Archie Hahn,Und,"RZ:jewel thief ""Mouse"""
AMe18,Police Academy 5,Jerry Lazarus,Und,"RZ:Jewel thief sidekick ""Sugar"""
AMe18,Police Academy 5,Tab Thacker,Und,"R:heavy cop ""House"""
AMe20,Police Academy 6,Bubba Smith,Und,RZ:inept goon
AMe20,Police Academy 6,Michael Winslow,Und,RZ:bungling cadet
AMg7,The Golden Arrow,Tab Hunter,Und,"R:thief, becomes sultan ""Hassan"""
AMg7,The Golden Arrow,Rossana Podesta,Und,RU:
AmH10,Fast Times at Ridgemont High,Sean Penn,Und,R:randy teenager
AmH10,Fast Times at Ridgemont High,Phoebe Cates,Und,RU:
AmH10,Fast Times at Ridgemont High,Jennifer Jason Leigh,Und,RU:
AmH10,Fast Times at Ridgemont High,Brian Backus,Und,RU:
AmH10,Fast Times at Ridgemont High,Robert Romanus,Und,RU:
AmH10,TZ:Fast Times at Ridgemont High,Judge Reinhold,Und,RU:
AmH10,TZ:Fast Times at Ridgemont High,Hallie Eckstein,Und,RU:
AmH10,Fast Times at Ridgemont High,Ray Walston,Und,RU:
AmH10,Fast Times at Ridgemont High,Eric Stoltz,Und,RU:
AmH20,National Lampoon's European Vacation,Chevy Chase,Und,"R:father, wins prize ""Clark Griswold"""
AmH20,National Lampoon's European Vacation,Beverly DAngelo,Und,"R:wife ""Lisa"""
AmH20,National Lampoon's European Vacation,Jason Lively,Und,R:son
AmH20,National Lampoon's European Vacation,Dana Hill,Und,"R:daughter, pines"
AmH20,National Lampoon's European Vacation,Eric Idle,Und,RU:
AmH20,National Lampoon's European Vacation,s a,Und,"R:queen, in dream ""Elizabeth"""
AmH20,National Lampoon's European Vacation,s a,Und,"R:princess, in dream ""Diane"""
AMi10,"Truly, Madly, Deeply",Juliet Stevenson,Und,"R:romantic ""Nina"""
AMi10,"Truly, Madly, Deeply",Alan Rickman,Und,"R:dead lover, cellist, reappears"
AMi10,"Truly, Madly, Deeply",Michael Maloney,Und,"R:teacher, new boyfriend"
AMi10,"Truly, Madly, Deeply",Christopher Rozycki,Und,R:Polish admirer
AMi10,"Truly, Madly, Deeply",Stella Maris,Und,R:unmarried friend. mother
AMi10,"Truly, Madly, Deeply",David Ryall,Und,"R:admirer, exterminator"
AMi10,"Truly, Madly, Deeply",Deborah Findlay,Und,R:sister
AMi10,"Truly, Madly, Deeply",Bill Paterson,Und,RZ:boss
AMi10,"Truly, Madly, Deeply",Pierre-Grahame duFrisk,Und,R:dead musician
AMi12,Mr. Wonderful,Matt Dillon,Und,"R:divorced, ttries to find husband for ex-wife"
AMi12,Mr. Wonderful,Annabella Sciora,Und,R:eex-wife
AMi12,Mr. Wonderful,MarieLouise Parker,Und,RU:
AMi12,Mr. Wonderful,Willliam Hurt,Und,RU:
AMi15,The English Patient,Ralph Fiennes,Und,"archeaeologist, disfigured in crash ""Almasy"""
AMi15,The English Patient,Juliette Binoche,Und,"wife of spy, seduces archaeolgist"
AMi15,The English Patient,Kristin Scott Thomas,Lov,"dedicated nurse ""Katherine"""
AMi15,The English Patient,Naveen Andrews,Und,"Sikh bomb expert, loves nurse"
AMi15,The English Patient,William Dafoe,Und,"R:thief, knows Almasy's past ""Caravaggio"""
AMi15,The English Patient,Colin Firth,Und,"spy, trusts wife"
AMk10,Pasazerka,Aleksandra Slaska,Und,R:former cooncentration camp official
AMk10,Pasazerka,Anna Ciepielewska,Und,R:former camp inmate
AML1,The Incredible Two-headed Monster,Bruce Dern,Und,"R:homocidical maniac, gets second head"
AML1,The Incredible Two-headed Monster,Pat Priest,Sci,RZ:mad doctor
AML1,The Incredible Two-headed Monster,Casey Kasem,Und,RU:
AML1,The Incredible Two-headed Monster,Barry Kroeger,Und,RU:
AmN1,Look Who's Talking,Kirstie Alley,Her,"R:unwed mother, drems of hanging from clock"
AmN1,Look Who's Talking,John Travolta,Sav,R:helpful taxi driver
AmN1,Look Who's Talking,George Segal,Wmp,"R:married father, wimp"
AmN1,Look Who's Talking,Abe Vigoda,Inn,R:adopted grandpa
AmN1,Look Who's Talking,Olympia Dukakis,Und,R:grandmother
AmN1,Look Who's Talking,Bruce Willis,VoiInn,R:baby's voice
Amo13,The Gun in Betty Lou's Handbag,Penelope Ann Miller,Und,"R:shy librarian, confesses falsely to murder ""Betty Lou"""
Amo13,The Gun in Betty Lou's Handbag,Eric Thal,Und,"R:cop, Betty's husband ""Alex"""
Amo13,The Gun in Betty Lou's Handbag,William Forsythe,Und,"R:vicious Cajun crime boss, boss of victim, wanted by FBI"
Amo13,The Gun in Betty Lou's Handbag,Cathy Moriarity,Und,"R:hooker, Betty's jail mate, teacher ""Reba Bush"""
Amo13,The Gun in Betty Lou's Handbag,Julianne Moore,Und,RU:
AMr10,"Highlander ""the Final Dimension""",Christopher Lambert,Und,R:supernatural Scot
AMr10,"Highlander ""the Final Dimension""",Mario van Peebles,Und,R:old wizard
AMr10,"Highlander ""the Final Dimension""",Deborah Unger,Und,RU:
AMs25,Hon Dansade en Sommar,Folke Sundquist,Und,R:student on vacation
AMs25,Hon Dansade en Sommar,Ulla Jacobson,Und,"R:country girl, nude"
AMs25,Hon Dansade en Sommar,s a,Und,R:pastor
AMe10,Night of the Cobra Woman,Joy Bang,Und,R:girlfriend of student
AMe10,Night of the Cobra Woman,Marlene Clark,Und,R:bra woman
AMe10,Night of the Cobra Woman,Roger Garrett,Und,R:biology student
AMe10,Night of the Cobra Woman,Slash Marks,Und,RU:
AMz1,The China Lake Murders,Michael Parks,Und,R:murderous L.A. cop
AMz1,The China Lake Murders,Tom Skerritt,Und,R:town sheriff
AMz5,Back to School,Rodney Dangerfield,Und,R:clothes sales exec
AMz5,Back to School,Sally Kellerman,Und,RZ:student
AMz5,Back to School,Buck Young,Und,R:college-going son
AMz5,Back to School,Keith Barcs,Und,"RSU """""
AMz5,Back to School,Roland Downey jr,Und,RU:
AMz5,Back to School,Paxton Whitehead,Und,RZ:critical professor
AMz5,Back to School,Adrienne Bobes,Und,RSU
AMz5,Back to School,Terry Farrar,Und,RU:
AMz5,Back to School,Ned Beatty,Und,RU:
AN10,Too Much Too Soon,Dorothy Malone,Und,"R:starlet, joins father ""Diana Barrymore"""
AN10,Too Much Too Soon,Errol Flynn,Und,"R:drunken actor father ""Barrymore"""
AN10,Too Much Too Soon,Efrem Zimbalist jr,Und,RU:
AN10,Too Much Too Soon,Neva Patterson,Und,RU:
AN10,Too Much Too Soon,Martin Milner,Und,RU:
AN10,Too Much Too Soon,Ray Danton,Und,RU:
AN10,Too Much Too Soon,Murray Hamilton,Und,RU:
AnA10,TZ:The Gunslinger,John Garko,Und,RU:
AnA10,TZ:The Gunslinger,Tony Vilar,Und,RU:
AnB5,Honeymoon in Vegas,Nichalos Cage,Und,R:groom
AnB5,Honeymoon in Vegas,Sarah Jessica Parker,Und,"R:bride, lost in poker game"
AnB5,Honeymoon in Vegas,James Caan,Und,R:wins bride
AnB20,The Freshman,Matthew Broderick,Und,R:movie school student from Vermont
AnB20,The Freshman,Marlon Brando,Und,R:dealer
AnB20,The Freshman,Penelope Ann Miller,Und,R:daughter
AnB20,The Freshman,Bruno Kirby,Und,R:weasely nephew
AnB20,The Freshman,Paul Benedict,Und,RU:
AnB20,The Freshman,Maximilian Schell,Und,RU:
AnB20,The Freshman,B.D. Wong,Und,RU:
AnB20,The Freshman,Bert Parks,Und,R:singer
AnB10,TZ:So Fine,Ryan ONeal,Her,R:professor
AnB10,TZ:So Fine,Jack Warden,inn,R:father
AnB10,TZ:So Fine,Mariangela Melato,Vil,R:gangster
AnB10,TZ:So Fine,Richard Kiel,Vil,R:gangster
AnB26,Striptease,Demi Moore,Und,"R:mother, needs money ""Evelyn Grant"""
AnB26,Striptease,Burt Reynolds,Und,R:nightclub owner
AnB26,Striptease,s a,Und,R:ex-husband
AnB26,Striptease,s a,Und,R:bouncer
AnC10,TZ:Smokey and the Hotwire Gang,James Keach,Und,RU:
AnC10,TZ:Smokey and the Hotwire Gang,Tony Lorea,Und,RU:
AnC10,TZ:Smokey and the Hotwire Gang,Alvy Moore,Und,RU:
AnC10,TZ:Smokey and the Hotwire Gang,Skip Young,Und,RU:
AnC10,TZ:Smokey and the Hotwire Gang,Stanley Livingston,Und,RU:
AnC10,TZ:Smokey and the Hotwire Gang,George Barris,Und,RU:
AnC10,TZ:Smokey and the Hotwire Gang,Carla Ziegfeld,Und,RU:
AnD10,L'Uomo Meccanico,Andre Deed,Und,"RN:""Saltarello"""
AnD10,L'Uomo Meccanico,Valentina Frascaroli,Und,"R:adventuress ""Mado"""
AnD10,L'Uomo Meccanico,Mathilde Lambert,Und,"RN:""elena D'Ara"""
AnD10,L'Uomo Meccanico,Gabriel Moreau,Und,"R:professor ""d'Ara"""
AnD10,L'Uomo Meccanico,Fernando VivasMay,Und,"RN:""Ramberti"""
AnD10,L'Uomo Meccanico,Giulia Costa,Und,RU:
ANe10,Voyage of Terror,Burt Lancaster,Und,"R:traveller, killed by terrorist ""Klinghoffer"""
ANe10,Voyage of Terror,Eva Marie Saint,Und,R:wife
ANi10,Gattaca,Ethan Hawke,Und,R:genetically improved
ANi10,Gattaca,Jude Law,Und,R:gene source
ANi10,Gattaca,Uma Thurman,Und,RU:
AnL5,Pushing Heads,Sihung Lung,Und,retired Tai-chi teacher
AnL5,Pushing Heads,sa,Und,Americanized son
AnL10,The Wedding Banquet,Winston Chao,Und,"R:successful gay immigrant ""Wai Tung"""
AnL10,The Wedding Banquet,Mitchell Lichtenstein,Und,"R:gay companion ""Simon"""
AnL10,The Wedding Banquet,May Chin,Und,"R:tenat, struggling artist, desirous bride ""Wei Wei"""
AnL10,The Wedding Banquet,Sihing Lung,Und,"R:former general, bride's father"
AnL10,The Wedding Banquet,AhLeh Gua,Und,R:bride's mother
AnL10,The Wedding Banquet,Tien Pien,Und,"R:old driver of general, restaurant owner, roposes banquet ""Chen"""
AnL12,The Ice Storm,Kevin Kline,Und,"R:cheating husband ""Ben Hood"""
AnL12,The Ice Storm,Joan Allen,Und,R:despairing wife
AnL12,The Ice Storm,Sigourney Weaver,Und,R:bitchy neighbor
AnL12,The Ice Storm,Elijah Wood,Und,R:confused kid
AnL12,The Ice Storm,Christina Ricci,Und,R:upset daughter
AnM16,The Furies,Barbara Stanwyck,Und,R:tempertuous daughter
AnM16,The Furies,Walter Huston,Und,R:cattle baron
AnM16,The Furies,Wendell Corey,Und,RU:
AnM16,The Furies,Judith Anderson,Und,RU:
AnM16,The Furies,Gilbert Roland,Und,RU:
AnM16,The Furies,Thomas Gomez,Und,RU:
AnM16,The Furies,Beulah Bondi,Und,RU:
AnM16,The Furies,Wallace Ford,Und,RU:
AnM16,The Furies,Albert Dekker,Und,RU:
AnM16,The Furies,Blanche Yurka,Und,RU:
AnM17,The Reign of Terror,Arnold Moss,Und,"R:emperor ""Napoleon"""
AnM20,Winchester 73,James Stewart,Her,RU:
AnM22,Bend of the River,James Stewart,Her,"R:reformed bandit, wagon train scout"
AnM22,Bend of the River,Julia Adams,Und,RU:
AnM22,Bend of the River,Arthur Kennedy,Vil,R:scout's outlaw pal
AnM24,The Naked Spur,James Stewart,Her,R:bounty hunter
AnM24,The Naked Spur,Robert Ryan,Vil,R:outlaw
AnM25,The Glenn Miller Story,James Stewart,Rul,"R:bandleader ""Glenn Miller"""
AnM25,The Glenn Miller Story,June Allyson,Und,R:wife
AnM25,The Glenn Miller Story,Harry Morgan,Und,RU:
AnM25,The Glenn Miller Story,Charles Drake,Und,RU:
AnM25,The Glenn Miller Story,Frances Langford,Und,RU:
AnM25,The Glenn Miller Story,Louis Armstrong,Und,"R:trumopet player ""Louis Armstrong"""
AnM25,The Glenn Miller Story,Gene Krupa,Und,"R:himself ""Gene Krupa"""
AnM25,The Glenn Miller Story,Kathleen Lockhart,Und,RU:
AnM27,Strategic Air Command,James Stewart,Und,"R:baseball player, recalled to actice duty ""Lt.Col Ditch Holland"""
AnM27,Strategic Air Command,June Allyson,Und,"R:wife ""Sally Holland"""
AnM27,Strategic Air Command,Stan Musial,Und,"R:ballplayer ""Stan Musial"""
AnM27,Strategic Air Command,James Millican,Und,"R:general ""Rusty Castle"""
AnM27,Strategic Air Command,Frank Lovejoy,Und,"R:general ""Hawkes"""
AnM27,Strategic Air Command,Richard Shannon,Und,R:aircraft commander
AnM27,Strategic Air Command,William Hudson,Und,R:forecaster
AnM28,The Man from Laramie,James Stewart,Und,R:cowboy
AnM30,Serenade,Mario Lanza,Und,R:singing vineyard worker
AnM30,Serenade,Joan Fontaine,Und,"R:helping, but destructive society woman"
AnM30,Serenade,Sarita Montiel,Sav,R:true love
AnM30,Serenade,Vincent Price,Und,R:manipulative manager
AnM30,Serenade,Joseph Calleia,Und,RU:
AnM30,Serenade,Harry Bellaver,Und,RU:
AnM30,Serenade,Vince Edwards,Und,RU:
AnM30,Serenade,Silvio Minciotti,Und,R:love's friend
AnM32,TZ:Men in War,Robert Ryan,Und,RU:
AnM32,TZ:Men in War,Aldo Ray,Und,RU:
AnM32,Men in War,Vic Morrow,Und,RU:
AnM32,TZ:Men in War,James Edwards,Und,RU:
AnM33,TZ:God's Little Acre,Robert Ryan,Und,RU:
AnM33,TZ:God's Little Acre,Aldo Ray,Und,RU:
AnM33,TZ:God's Little Acre,Tina Louise,Und,RU:
AnM33,TZ:God's Little Acre,Buddy Hackett,Und,RU:
AnM33,TZ:God's Little Acre,Jack Lord,Und,RU:
AnM33,God's Little Acre,Vic Morrow,Und,RU:
AnM33,TZ:God's Little Acre,Fay Spain,Und,RU:
AnM33,TZ:God's Little Acre,Lance Fuller,Und,RU:
AnM33,TZ:God's Little Acre,Rex Ingram,Und,RU:
AnM33,TZ:God's Little Acre,Michael Landon,Und,RU:
AnM34,Man of the West,Gary Cooper,Und,RU:
AnM35,Cimarron,Glenn Ford,Und,RU:
AnM35,Cimarron,Maria Schell,Und,RU:
AnM35,Cimarron,Anne Baxter,Und,RU:
AnM35,Cimarron,Lili Darvas,Und,RU:
AnM35,Cimarron,Russ Tamblyn,Und,RU:
AnM35,Cimarron,Henry Morgan,Und,RU:
AnM35,Cimarron,David Opatoshu,Und,RU:
AnM35,Cimarron,Charles McGraw,Und,RU:
AnM35,Cimarron,Aline McMahon,Und,RU:
AnM35,Cimarron,Edgar Buchanan,Und,RU:
AnM35,Cimarron,Arthur OConnell,Und,RU:
AnM35,Cimarron,Mercedes McCambridge,Und,RU:
AnM35,Cimarron,Vic Morrow,Und,RU:
AnM35,Cimarron,Robert Keith,Und,RU:
AnM35,Cimarron,Mary Wickes,Und,RU:
AnM35,Cimarron,Royal Dano,Und,R:cowboy
AnM35,Cimarron,Vladimir Sokoloff,Und,RU:
AnM37,El Cid,Charlton Heston,Und,R:liberator of Spain
AnM37,El Cid,Sophia Loren,Und,RU:
AnM37,El Cid,Raf Vallone,Und,RU:
AnM37,El Cid,Geraldine Page,Und,RU:
AnM37,El Cid,John Fraser,Und,RU:
AnM37,El Cid,Gary Raymond,Und,RU:
AnM37,El Cid,Herbert Lom,Und,RU:
AnM37,El Cid,Hurd Hatfield,Und,RU:
AnM37,El Cid,Massimo Serato,Und,RU:
AnM37,El Cid,Andrew Cruikshank,Und,RU:
AnM37,El Cid,Michael Hordern,Und,RU:
AnM37,El Cid,Douglas Wilmer,Und,RU:
AnM40,The Fall of the Roman Empire,Alec Guiness,Rul,"R:emperor, poisoned ""Marcus Aurelius"""
AnM40,The Fall of the Roman Empire,Christopher Plummer,Und,"R:mad son, kills father"
AnM40,The Fall of the Roman Empire,Stephen Boyd,Und,"RZ:chained, barbarian"
AnM40,The Fall of the Roman Empire,James Mason,Und,RU:
AnM40,The Fall of the Roman Empire,Sophia Loren,Und,R:chained
AnM40,The Fall of the Roman Empire,John Ireland,Und,RU:
AnM40,The Fall of the Roman Empire,Eric Porter,Und,RU:
AnM40,The Fall of the Roman Empire,Anthony Quayle,Und,RU:
AnM40,The Fall of the Roman Empire,Mel Ferrer,Und,RU:
AnM40,The Fall of the Roman Empire,Omar Sharif,Und,RU:
AnP7,I Never Promised You a Rose Garden,Bibi Anderson,Und,R:suicidal teenager
AnP7,I Never Promised You a Rose Garden,Kathleen Quinlan,Und,RU:
AnP7,I Never Promised You a Rose Garden,Sylvia Sidney,Und,RU:
AnP7,I Never Promised You a Rose Garden,Diane Varsi,Und,RU:
AnP7,I Never Promised You a Rose Garden,Susan Tyrrell,Und,
AnP8,The Lady Vanishes,Cybill Shepherd,Und,"R:savior, innocent"
AnP8,The Lady Vanishes,Elliott Gould,Und,"R:savior, folkdancer"
AnP8,The Lady Vanishes,Angela Lansbury,Und,"R:vanished good agent, rescued"
AnP8,The Lady Vanishes,Herbert Lom,Und,R:bad agent
AnP8,The Lady Vanishes,Arthur Lowe,Und,RU:
AnP18,Middlemarch,Robert Hardy,Und,"RN:""Mr.Brooke"""
AnP18,Middlemarch,Michael Hodern,Und,"R:dotty, dying ""Featherstone"""
AnP18,Middlemarch,Mary Garth,Und,RZ:servant
AnP18,Middlemarch,Fred Vincy,Und,R:potential heir
AnP18,Middlemarch,Peter Jeffrey,Und,"RN:""Bulstrode"""
AnP18,Middlemarch,Douglas Hodge,Und,R:arrogant young man
AnP18,Middlemarch,Juliet Aubrey,Und,"R:disadvantaged ""Dorothea"""
AnP18,Middlemarch,Trevyn McDowell,Und,"R:coy ""Rosamond"""
AnP18,Middlemarch,Rufus Sewell,Und,"R:tough ""Laidlaw"""
AnQ10,The Buccaneer,Yul Brynner,Und,"R:pirate ""Jean LaFitte"""
AnS1,The Great Victor Herbert,Walter Connolly,Und,"R:fatherly composer ""Victor Herbert"""
AnS1,The Great Victor Herbert,Allan Jones,Und,R:young singer
AnS1,The Great Victor Herbert,Mary Martin,Und,R:young singer
AnS1,The Great Victor Herbert,Suasanna Foster,Und,RU:
AnS1,The Great Victor Herbert,Lee Bowman,Und,RU:
AnS3,Stormy Weather,Bojangles Robinson,Und,"R:musician ""Bill Bojangles Robinson"""
AnS3,Stormy Weather,Fats Waller,Und,R:musician
AnS3,Stormy Weather,Cab Calloway,Und,R:scat singer
AnS3,Stormy Weather,Lena Horne,Und,RU:
AnS3,Stormy Weather,Dooley Wilson,Und,RU:
AnS3,Stormy Weather,Katherine Dunham,Und,R:leader of dance group
AnS3,Stormy Weather,Nicholas Brothers,Und,RU:
AnS3,Stormy Weather,Zutyy Singleton,Und,RU:
AnS3,Stormy Weather,Ada Brown,Und,RU:
AnS3,Stormy Weather,Rochester,Und,RU:
AnS3,Stormy Weather,Benny Carter,Und,RU:
AnS15,Julie,Doris Day,Vic,"R:wife, avoids being murdered"
AnS15,Julie,Louis Jourdan,Und,R:plotting pianist
AnS33,The Great Waltz,Horst Buchholz,Und,"R:composer ""Johann Strauss jr."""
AnS33,The Great Waltz,Mary Costa,Und,RU:
AnS33,The Great Waltz,Rossano Brazzi,Und,RU:
AnS33,The Great Waltz,Yvonne Mitchell,Und,RU:
AnS33,The Great Waltz,Nigel Patrick,Und,"R:composer ""Johann Strauss sr."""
AnT5,Solaris,Natalya Bondartchuk,Und,R:psychologist
AnT5,Solaris,Donatas Banionis,Und,R:astronaut
AnT5,Solaris,Yury Yarvet,Und,RZ:astronaut
AnT16,The Sacrifice,Erland Josephson,Und,"R:retried actor, witness to nuclear holocaust"
AnW10,Split: William to Chrysis,International Chrysis,Und,"R:model ""International Chrysis"""
AoS10,Knocks at my Door,Veronica Oddo,Und,"R:nun, shelters fugitive"
AoS10,Knocks at my Door,Elba Escobar,Und,"R:nun, aids"
AOz10,AT,Genco Erkal,Und,"R:illiterate, proud peasant, moves to city"
AOz10,AT,Harun Yesilyurt,Und,"R:young son, wants horse for push cart"
AOz10,AT,Ayberk Colok,Und,"R:old blind woman, seduces boy"
APa5,Bugsy Malone,Scott Baio,Und,RU:
APa5,Bugsy Malone,Jodie Foster,Und,R:gun moll
APa6,TZ:Midnight Express,Brad Davis,Und,RU:
APa6,TZ:Midnight Express,Irene Miracle,Und,RU:
APa6,TZ:Midnight Express,Randy Quaid,Und,RU:
APa6,TZ:Midnight Express,John Hurt,Und,RU:
APa7,TZ:Fame,Irene Cara,Und,R:teenage dancer
APa7,TZ:Fame,Eddie Barth,Und,RU:
APa7,TZ:Fame,Laura Dean,Und,RU:
APa7,TZ:Fame,Lee Curreri,Und,RU:
APa7,TZ:Fame,Anne Meara,Und,RU:
APa12,Shoot the Moon,Diane Keaton,Und,R:deserted wife
APa12,Shoot the Moon,Albert Finney,Und,"R:successful writer, leaves family"
APa12,Shoot the Moon,Karen Allen,Und,R:new girlfriend
APa12,TZ:Shoot the Moon,Dana Hill,Und,RU:
APa12,TZ:Shoot the Moon,Diane Keaton,Und,RU:
APa12,Shoot the Moon,Peter Weller,Und,R:kicks writer in crotch
APa20,Missisippi Burning,Gene Hackman,Und,"R:old FBI agent, from South ""Rupert Anderson"""
APa20,Mississippi Burning,Willem Dafoe,Und,"R:young FBI agent ""Ward"""
APa20,Mississippi Burning,s a,Und,R:local sheriff
APa20,Mississippi Burning,s a,Und,"R:sheriff deputy, Klan member ""Lester"""
APa20,Mississippi Burning,Frances McDormand,Und,"R:Lester's wife, beaten up"
APa20,Mississippi Burning,Brad Dourif,Und,"R:activist, shot by local police"
APa20,Mississippi Burning,Park Overall,Und,"R:colored kid, shot"
APa20,Mississippi Burning,Stephen Tobolowsky,Und,"R:white thug ""Lester Collins"""
APa24,Come See the Paradise,Tamlyn Tomita,Vic,"R:Japanese woman, interned"
APa24,Come See the Paradise,Dennis Quaid,Sdk,R:white husband
APa25,The Commitments,Robert Arkins,Rul,"R:poor kid, leads band"
APa25,The Commitments,Andrew Strong,Und,R:musician
APa25,The Commitments,Angelina Ball,Und,R:musician
APa25,The Commitments,Michael Aherne,Und,R:musician
APa25,The Commitments,Bronagh Gallagher,Und,R:musician
APa25,The Commitments,Johnny Murphy,Und,"R:guru trumpetter ""Joey the Lips"""
APa25,The Commitments,Colm Meany,Und,R:Elvis-worshipping father
APa25,The Commitments,Maria Doyle,Und,R:musician
APa30,Evita,Madonna,Und,"R:ambitious poor girl, becomes consort of Peron, heroine ""Eva Duarte"""
APa30,Evita,Antonio Banderas,Narr,"R:guide ""Che"""
APa30,Evita,Jonathan Pryce,Und,"R:colonel, becomes president: ""Peron"""
APa30,Evita,Jimmy Nail,Und,R:musician lover
APe10,Psycho III,Anthony Perkins,Psy,"R:murderer ""Alan Bates"""
APe10,Psycho III,Diana Scarwid,Und,RU:
APe10,Psycho III,Jeff Fahey,Und,RU:
APe10,Psycho III,Roberta Maxwell,Und,RU:
APl10,Let's Get Romantic,Aneeta Kanwar,Und,"R:older woman, finds love"
APl10,Let's Get Romantic,Vikram Gokhale,Und,RU:
APl10,Let's Get Romantic,Nana Paleker,Und,RU:
APk10,Zeit der Rache,Cumhur Vural,Und,"R:son of Turkish gastarbeiter, seeks revenge"
APk10,Zeit der Rache,Otto Sander,Und,"R:driver, killed father"
APk10,Zeit der Rache,Annette Uhlen,Und,RU:
APk10,Zeit der Rache,Dominic Raacke,Und,R:supportive German
APk10,Zeit der Rache,Tuncel Kurtiz,Und,RU:
APo10,Force of Evil,John Garfield,Und,R:numbers king
APo10,Force of Evil,Thomas Gomez,Und,RU:
APo10,Force of Evil,Beatrice Pearson,Und,RU:
APo10,Force of Evil,Marie Windsor,Und,RU:
APo10,Force of Evil,Anne Revere,Und,R:mother
APo40,Rosemary's Baby,Mia Farrow,Und,R:bears the devil's child
APo40,Rosemary's Baby,s a,Vil,"R:husband, contracts with satan"
APo40,Rosemary's Baby,Ralph Bellamy,Vil,RZ:doctor
APo43,Tell Them Willie Boy is Here,Robert Redford,Und,R:Indian cowboy
APo43,Tell Them Willie Boy is Here,Katharine Ross,Und,RU:
APo43,Tell Them Willie Boy is Here,Robert Blake,Und,RU:
APo43,Tell Them Willie Boy is Here,Susan Clark,Und,RU:
APo43,Tell Them Willie Boy is Here,Barry Sullivan,Und,RU:
Apr-10,The Crow,Brandon Lee,Und,"R:killed rocker, returns, vindictive, kills ""Eric Draven"""
Apr-10,The Crow,Michael Wincott,Vil,R:killer
Apr-10,The Crow,Ernie Hudson,Agt,R:sensitive police officer
Apr-10,The Crow,Rochelle Davis,Und,RU:
