H,title,year,director,producer,studio,process code,category code,awards
RTh37,Ivanhoe,1953,D:R.Thorpe,PN:,St:MGM,Tcol,Fant,
RTh40,Knights of the Round Table,1954,D:R.Thorpe,PN:,St:MGM,Tcol,Fant,
RTh42,The Student Prince,1954,D:R.Thorpe,PN:Joe Pasternak,St:MGM,AncolCS,"Musc,Romt",H
RTh52,The Venetian Affair,1954,D:R.Thorpe,"P:R.Thorpe, E.Jack Newman",St:MGM,col,Advt,"Venice, Italy"
RTh58,Jailhouse Rock,1957,D:R.Thorpe,PN:,SU:,col,Musc,
TG8,One Way Passage,1932,D:Garnett,PN:,SU:,prc,Dram,aw
TG11,China Seas,1935,D:Garnett,PN:,St:MGM,cld,RomtAdvt,aw
TG15,Stand-In,1937,D:Garnett,P:Wanger,S:,bnw,Comd,H*
TG16,Love is News,1937,D:Garnett,PN:,SU:,prc,Ctxx,aw
TG17,The Slave Ship,1937,D:Garnett,PN:,SU:,prc,Ctxx,aw
TG19,Eternally Yours,1939,D:Garnett,P:Wanger,SU:,bnw,"Comd,Susp",H*
TG20,Trade Winds,1939,D:Garnett,P:Wanger,SU:,bnw,"Comd,Romt",H
TG21,Seven Sinners,1940,D:Garnett,PN:Joe Pasternak,St:Univeral,bnw,Romt,H*
TG22,Cheers for Miss Bishop,1941,D:Garnett,PN:Richard A. Rowland,St:Paramount,bnw,Romt,H*
TG27,Mrs. Parkinton,1944,D:Garnett,PN:,SU:,bnw,Comd,
TG30,The Postman Always Rings Twice,1946,D:Garnett,PN:Carey Wilson,St:MGM,bnw,Comd,H*
TG32,A Connecticut Yankee in King Arthur's Court,1949,D:Garnett,PN:Robert Fellows,St:Paramount,Tcol,Musc,H*
TG39,The Black Knight,1954,D:Garnett,PN:,SU:,,Fant,
TG42,The Delta Factor,1970,D:Garnett,PN:,SU:,prc,Ctxx,aw
WaF10,The Ghost Train,1931,D:W.Forde,PN:Michael Balcon,St:Gainsborough,bnw,Comd,H****
WaF15,Rome Express,1932,D:W.Forde,P:Balcon,St:Gaumont,bnw,Susp,H***
WaF20,Chu Chin Chow,1934,D:W.Forde,P:Balcon,St:Gaumont,bnw,Musc,H*
WaF25,Bulldog Jack,1935,D:W.Forde,P:Balcon,St:Gaumont,bnw,Advt,H*
WaF35,Saloon Bar,1940,D:W.Forde,PN:Michael Balcon,St:Ealing,bnw,,H*
WaF40,The Ghost Train,1941,D:W.Forde,PN:Edwark Black,St:Gainsborough,bnw,Comd,H**
WaF45,Atlantic Ferry,1941,D:W.Forde,PN:,SU:,prc,Ctxx,aw
WaF48,Charley's Bighearted Aunt,1941,D:W.Forde,P:Edward Black,St:Gainsborough,bnw,Comd,
WaF50,It's that Man Again,1942,D:W.Forde,PN:,SU:,prc,Ctxx,aw
WD1,Steamboat Willie,1928,D:Disney,PN:,SU:,car,Dram,
WD2,Flowers and Trees,1932,D:Disney,PN:,SU:,car,Fant,
WD101,Snow White and the Seven Dwarfs,1937,D:Disney,P:Disney,St:Disney,Tcol,"Fant,Cart","H****, AA dir - honorary"
WD102,Pinocchio,1939,D:Disney,P:Disney,St:Disney,Tcol,Fant,H****
WD103,Fantasia,1940,D:Disney,PN:Walt Disney,SL:USA,Tcol,Fant,H****
WD105,The Three Caballeros,1945,D:Disney,PN:Norman Ferguson,St:Disney,"Tcol, car",Fant,H***
AD10,Arsenal,1929,D:Dovzhenko,PN:,SL:USSR,bws,Dram,
AD20,Earth,1930,D:Dovzhenko,PN:,SL:USSR,bws,Epic,'world's 10 best'
AD30,Ivan,1932,D:Dovzhenko,PN:,SL:USSR,,Epic,
AD40,Aerograd,1935,D:Dovzhenko,PN:,"St:Mosfilm, Ukrainfilm",bnw,Actn,H**
AD50,Life in Blossom,1947,D:Dovzhenko,PN:,SL:USSR,,,
ArR10,The Informer,1929,D:Robinson,PN:,St:BIP,bnw,Ctxx,aw
BVi5,Seven Faces,1929,D:Viertel,PN:,SU:,prc,Dram,aw
BVi10,The Wise Sex,1931,D:Viertel,PN:,SU:,prc,CTxx,aw
BVi12,The Man from Yesterday,1932,D:Viertel,PN:,St:Paramount,bnw,Dram,H
BVi20,Rhodes of Africa,1931,D:Viertel,PN:,SU:,prc,BioP,aw
CJu10,So ist das Leben,1929,D:Junghans,P:Junghans,SU:,prc,Dram,aw
DGz10,Ramona,1929,D:Gaziadis,PN:,SU:,prc,Dram,aw
ELa10,Der Teufelsreporter,1929,D:E.Laemmle,PN:,SU:,bnw,Ctxx,aw
FRJ30,Bulldog Drummond,1929,D:F.R.Jones,P:S.Goldwyn,St:U.A.,bnw,Advt,H*
GgA3,Manslaughter,1930,D:Abbott,P:Selznick,St:Paramount Publix,bnw,,
GgA8,Boy Meets Girl,1938,D:Abbott,P:Abbott,SU:,bnw,Ctxx,aw
GgA9,Too Many Girls,1940,D:Abbott,"PN:Harry Edginton, Abbott",St:RKO,bnw,Musc,H
HnS10,The Wonderful Life of Nina Petrovna,1929,D:Schwarz,PN:,SU:,bws,Ctxx,aw
HPo10,Show Boat,1929,D:Pollard,P:Laemle,St:Universal,bnw,Musc,aw
ICr2,The Dance of Life,1929,D:Cromwell,P:Selznick,St:PFL,bnw,Dram,aw
ICr4,Street of Chance,1930,D:Cromwell,P:Selznick,St:PFL,bnw,Dram,H
ICr5,Tom Sawyer,1930,D:Cromwell,PN:,SU:,prc,CTxx,
ICr6,The Texan,1930,D:Cromwell,"PN:Howard Turnbull,Selznick","St:Paramount,Publix",bnw,West,H
ICr7,For the Defense,1930,D:Cromwell,P:Selznick,St:Paramount-Publix,bnw,Dram,aw
ICr10,Tm:The Vice Squad,1931,D:Cromwell,PN:,St:Paramount,bnw,Dram,H*
ICr15,Sweepings,1933,D:Cromwell,P:Selznick,St:RKO,bnw,Dram,aw
ICr16,The Silver Cord,1933,D:Cromwell,P:Selznick,St:RKO,bnw,Dram,aw
ICr19,Of Human Bondage,1934,D:Cromwell,P:Berman,St:RKO,bnw,Dram,H**
ICr24,Little Lord Fauntleroy,1936,D:Cromwell,P:Selznick,St:Selznick,bnw,Dram,aw
ICr25,Banjo on my Knee,1936,D:Cromwell,P:Nunally J.,St:Fox,bnw,"Comd,Musc",H**
ICr27,The Prisoner of Zenda,1937,D:Cromwell,P:Selznick,St:Selznick,bnw,Dram,"H***, [47]*"
ICr28,Algiers,1938,D:Cromwell,P:Wanger,SU:,bnw,Romt,H**
ICr30,Made for Each Other,1939,D:Cromwell,P:Selznick,St:Selznick,bnw,"Romt,Dram",H*
ICr35,Since You Went Away,1944,D:Cromwell,P:Selznick,St:Selznick,bnw,,"H***, AAN"
ICr36,The Enchanted Cottage,1945,D:Cromwell,PN:,St:US,prc,"Fant,Romt",
ICr38,Anna and the King of Siam,1946,D:Cromwell,PN:Louis D. Lighton,St:Fox,bnw,Romt,H**
ICr40,Dead Reckoning,1947,D:Cromwell,PN:Sidney Biddell,St:Columbia,bnw,Susp,H*
ICr42,The Company She Keeps,1951,D:Cromwell,PN:John Houseman,St:RKO,bnw,,H
IFD20,Kismet,1930,D:Dillon,PN:,SU:,prc,Ctxx,aw
IFD25,The Girl of the Golden West,1930,D:Dillon,PN:Robert North Warren,St:Paramount,bnw,Dram,H
IFD50,Call Her Savage,1932,D:Dillon,PN:Sam E. Rork,St:Paramount,bnw,Ctxx,aw
IyT10,Blue Express,1929,D:Trauberg,PN:,SU:,bws,Ctxx,aw
JdL10,Jealousy,1929,D:deLimur,PN:,SU:,bnw,Dram,H
JdL12,The Letter,1929,D:deLimur,PN:,St:Paramount,bnw,Dram,H*
JGr5,Daïnah la Métisse,1931,D:Gremillon,PN:,SU:,bnw,Dram,aw
JGr15,Remorques,1939,D:Gremillon,PN:,SU:,bnw,Dram,aw
JGr18,Lumieres d'Et/'e,1942,D:Gremillon,PN:,SU:,bnw,Dram,aw
JGr23,L'Etrange Monsieur Victor,1949,D:Gremillon,PN:,SU:,bnw,Susp,aw
JGr30,Pattes Blanches,1949,D:Gremillon,PN:,SU:,bnw,Dram,aw
JS1,Cocoanuts,1929,D:Santley,PN:,St:Paramount SL:Astoria L.I.,bnw,Comd,
JS5,Million Dollar Baby,1934,D:Santley,PN:,SU:,prc,Ctxx,aw
JS36,Remember Pearl Harbor,1942,D:Santley,PN:,SU:,prc,Ctxx,aw
JS42,Brazil,1944,D:Santley,P:Robert North,St:Republic,bnw,Musc,
LiB1,Madame X,1929,D:Barrymore,P:,St:MGM,bnw,Dram,"AAN dir,H*"
LiB2,The Unholy Night,1929,D:Barrymore,P:,St:MGM,bnw,Susp,aw
LiB3,The Green Ghost,1929,D:Barrymore,PN:,SU:,prc,CTxx,aw
LiB4,His Glorious Night,1930,D:Barrymore,P:Barrymore,SU:,prc,CTxx,aw
LiB5,The Rogue Song,1930,D:Barrymore,P:Barrymore,SU:,prc,CTxx,aw
LiB6,Ten Cents A dance,1931,D:Barrymore,PN:,SU:,prc,CTxx,aw
LMC6,The Kid From Spain,1932,D:McCarey,PN:,St:Goldwyn,bnw,Musc,H**
LMC9,Duck Soup,1933,D:McCarey,PN:,St:Paramount,bnw,Comd,"F07, H****"
LMC12,Ruggles of Red Gap,1935,D:McCarey,PN:Arthur Hornblow jr.,St:Paramount,bnw,"Comd,West","AAN, H**"
LMC13,The Milky Way,1936,D:McCarey,P:H.Lloyd,St:Paramount,bnw,,H*
LMC14,Make Way for Tomorrow,1937,D:McCarey,P:McCarey,St:Paramount,bnw,Dram,H**
LMC15,The Awful Truth,1937,D:McCarey,P:McCarey,St:Columbia,bnw,Comd,"AAN, AA dir, H***"
LMC16,; S.N. Berman,1939,D:McCarey,P:McCarey,St:RKO,bnw,Romt,"H***, AAN"
LMC18,Going My Way,1944,D:McCarey,P:McCarey,St:Paramount,bnw,,"AA, AA dir, H**"
LMC19,The Bells of St. Mary's,1945,D:McCarey,P:McCarey,"St:RKO,Universal",cld,Musc,"AAN, AAN dir, H**"
LMC23,An Affair to Remember,1957,D:McCarey,"PN:McCarey, Jerry Wald",St:Fox,prc,Romt,aw
LMC24,Heaven Knows Mr. Allison,1957,D:McCarey,PN:,SU:,prc,Ctxxx,aw
LuR8,Rio Rita,1929,D:L.Reed,PN:William leBaron,St:RKO,"bnw,Tcol",Musc,H
LuR10,Hit the Deck,1930,D:L.Reed,PN:,St:RKO,"bnw, col",Musc,H
McR10,The Third Eye,1929,D:Rogers,PN:,SU:,prc,Ctxx,aw
McR40,Busman's Holiday,1936,D:Rogers,PN:,SU:,prc,Ctxx,aw
McR50,Woman to Woman,1946,D:Rogers,PN:,SU:,prc,Ctxx,aw
McR60,The Story of Shirley Yorke,1949,D:Rogers,PN:,SU:,prc,Ctxx,aw
McR80,Johnny on the Spot,1954,D:Rogers,PN:,SU:,prc,Ctxx,aw
McR90,Not a Hope in Hell,1960,D:Rogers,PN:,SU:,prc,Ctxx,aw
MkD3,The Pigeon,1929,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD5,Alien Shore,1930,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD7,Fire,1931,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD10,The Childhood of Maxim Gorki,1938,D:Donskoi,PN:,St:Soyuzdetfilm,bnw,BioP,H***
MkD11,Out in the World,1939,D:Donskoi,PN:,St:Soyuzdetfilm,bnw,BioP,H***
MkD12,My Universities,1940,D:Donskoi,PN:,St:Soyuzdetfilm,bnw,BioP,H***
MkD15,How the Steel was Tempered,1942,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD17,The Rainbow,1944,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD20,The Village teacher,1947,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD30,Mother,1956,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD35,Gordeyev's Family,1959,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD40,A Mother's Heart,1966,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD41,A Mother's Devotion,1967,D:Donskoi,PN:,SU:,prc,Ctxx,aw
MkD47,Nadyezhda,1973,D:Donskoi,PN:,SU:,prc,Ctxx,aw
NoL8,Streets of London,1929,D:N.Lee,PN:,SU:,bnw,Ctxx,aw
NoL22,Pride of the Force,1932,D:N.Lee,PN:,SU:,bnw,Ctxx,aw
NoL26,No Escape,1996,D:N .Lee,PU:,S:Pathe,bnw,Susp,H
NoL28,French Leave,1937,D:N.Lee,PN:,SU:,bnw,Ctxx,aw
NoL30,Bulldog Drummond at Bay,1937,D:N.Lee,PN:,"St:Wardour,ABPC",prc,Advt,H
NoL32,Almost a Honeymoon,1938,D:N.Lee,PN:,SU:,bnw,Ctxx,aw
NoL34,Murder in Soho,1939,D:N.Lee,PN:,SU:,bnw,Ctxx,aw
NoL36,The Door with Seven Locks,1940,D:N.Lee,P:Argyle,St:Monogram,bnw,Horr,aw
NoL45,The Monkey's Paw,1948,D:N.Lee,PN:,SU:,bnw,Ctxx,-H
NoL48,The Case of Chatles Peace,1949,D:N.Lee,PN:,SU:,bnw,Ctxx,aw
NoL52,The Girl who Couldn't Quite,1950,D:N.Lee,PN:,SU:,bnw,Ctxx,aw
PJ7,Mutter Krausens Fahrt ins Glück,1929,D:Jutzi,PN:,St:Prometheus,prc,Dram,
PJ12,Berlin-Alexanderplatz,1931,D:Jutzi,PN:,SL:Germany,prc,Dram,
RdR10,Gold Diggers of Broadway,1929,D:delRuth,P:,St:Warners,Tcol,Musc,H*
RdR14,Terror,1931,D:delRuth,PN:,SU:,sbw,,
RdR30,Blonde Crazy,1931,D:delRuth,P:,St:Warners,bnw,Comd,H*
RdR32,The Maltese Falcon,1931,D:delRuth,PN:,St:Warners,bnw,Susp,H**
RdR37,Taxi!,1932,D:delRuth,PN:Robert Lord,St:Warners,bnw,"Comd, Dram",aw
RdR38,Blessed Event,1932,D:delRuth,PN:,SU:,prc,Ctxx,aw
RdR40,Employees' Entrance,1933,D:delRuth,PN:,SU:,prc,Ctxx,aw
RdR44,Lady Killer,1933,D:delRuth,P:Blanke,St:Warners,bnw,"Comd,Dram",H***
RdR46,Bulldog Drummond Strikes Back,1934,D:delRuth,PN:,"St:U.A., 20thCent.",bnw,Advt,H*
RdR38,Upperworld,1934,D:delRuth,PN:,SU:,prc,Ctxx,aw
RdR48,Folies Bergere,1935,D:delRuth,"P:William Goetz, R.Griffith",St:20th Cent.,bnw,Musc,H***
RdR50,Thanks a Million,1935,D:delRuth,PN:,SU:,prc,Ctxx,aw
RdR52,Born to Dance,1936,D:delRuth,P:Cummings,St:MGM,bnw,Musc,H*
RdR53,Broadway Melody of 1936,D:1936,D:DeLRuth,P:Considine,St:MGM,bnw,Musc,"AAN, H**"
RdR54,On the Avenue,1937,D:delRuth,P:D.Markey,St:Fox,bnw,Musc,aw
RdR56,Broadway Melody of 1938,D:1938,D:DeLRuth,P:J.Cummings,St:MGM,bnw,Musc,H*
RdR61,He Married his Wife,1940,D:delRuth,P:R.Griffiths,St:Fox,bnw,,H
RdR62,Topper Returns,1941,D:delRuth,PN:,SU:,prc,Ctxx,aw
RdR63,The Chocolate Soldier,1941,D:delRuth,P:V.Saville,St: MGM,bnw,Musc,H*
RdR64,Topper Returns,1941,D:delRuth,P:Roach,St:MGM,bnw,,H***
RdR66,Maisie Gets Her Man,1942,D:DelRuth,P:Ruben,St:MGM,prc,Comd,aw
RdR68,DuBarry Was a Lady,1943,D:delRuth,PN:,SU:,prc,"Comd,Musc",aw
RdR70,The Babe Ruth Story,1948,D:delRuth,P:DelRuth,St:Allied,bnw,BioP,H
RdR72,West Point Story,1950,D:delRuth,PN:,SU:,prc,Ctxx,aw
RdR76,Stop! You're Killing Me,1952,D:delRuth,PN:,SU:,,Susp,
RdR80,Phantom of the Rue Morgue,1954,D:delRuth,PN:,SU:,3D,Susp,
RdR90,Why Must I Die?,1960,D:delRuth,PN:Richard Bernstein,St:AIP,bnw,Dram,
RM1,Applause,1929,D:Mamoulian,"PN:Jesse L. Lasky, Wanger",St:Paramount,bnw,Dram,H***
RM2,City Streets,1931,D:Mamoulian,PN:,St:Paramount,bnw,,
RM3,Dr. Jekyll and Mr. Hyde,1932,D:Mamoulian,PN:,St:Paramount,,Horr,
RM4,Love Me Tonight,1932,D:Mamoulian,PN:,St:Paramount,bnw,Musc,
RM5,Song of Songs,1933,D:Mamoulian,PN:,St:Paramount,bnw,,
RM6,Queen Christina,1933,D:Mamoulian,P:Wanger,St:MGM,bnw,Romt,H***
RM--,Oklahoma,1934,D:Mamoulian,PN:,SU:,,stage musical,
RM7,We Live Again,1934,D:Mamoulian,P:S.Goldwyn,SU:,prc,Ctxx,aw
RM8,Becky Sharp,1935,D:Mamoulian,PN:Kenneth MacGowan,St:RKO,Tcol,,H**
RM9,The Gay Desperado,1936,D:Mamoulian,PN:,St:U.A.,,,
RM10,"High, Wide, and Handsome",1937,D:Mamoulian,PN:,St:Paramount,bnw,Musc,aw
RM11,Golden Boy,1939,D:Mamoulian,PN:,St:Columbia,,,
RM12,The Mark of Zorro,1940,D:Mamoulian,P:R.Griffith,St:Fox,bnw,,H***
RM13,Blood and Sand,1940,D:Mamoulian,PN:D.F.Zanuck,St:Fox,Tcol,Romt,H*
RM14,Rings on her Fingers,1942,D:Mamoulian,PN:,St:Paramount,,,
RM15,Summer Holiday,1948,D:Mamoulian,P:Freed,St:MGM,Tcol,Musc,H**
RM16,Silk Stockings,1957,D:Mamoulian,P:Freed,St:MGM,McolCS,Musc,H*
RSi2,Menschen am Sonntag,1929,D:R.Siodmak,PN:,St:Idial Film,prc,Docu,aw
RSi14,Pièges,1939,D:R.Siodmak,PN:,SU:,prc,Ctxx,aw
RSi17,Son of Dracula,1943,D:R.Siodmak,PN:,St:Universal,bnw,Horr,aw
RSi18,Cobra Woman,1944,D:R.Siodmak,P:,SU:,bnw,Camp,
RSi20,Phantom Lady,1944,D:R.Siodmak,P:J.Harrison,St:Universal,bnw,Noir,H**
RSi25,The Spiral Staircase,1945,D:R.Siodmak,P:Schary,St:RKO,bnw,Susp,H***
RSi29,Nocturne,1946,D:R.Siodmak,P:J.Harrison,SU:,bnw,Myst,
RSi30,The Killers,1946,D:R.Siodmak,P:Hellinger,St:Universal,bnw,"Susp,Noir",H***
RSi31,The Dark Mirror,1946,D:R.Siodmak,PN:,SU:,prc,Ctxx,aw
RSi40,Criss Cross,1948,D:R.Siodmak,PN:,SU:,prc,Ctxx,aw
RSi41,The Spiral Staircase,1948,D:R.Siodmak,PN:,SU:,prc,Ctxx,aw
RSi45,The Crimson Pirate,1952,D:R.Siodmak,PN:,SU:,prc,Actn,aw
ThF5,Whoppee,1930,D:Freeland,PN:,SU:,prc,Ctxx,aw
ThF6,Be Yourself,1930,D:Freeland,PN:,SU:,prc,Ctxx,aw
ThF11,Love Affair,1932,D:Freeland,PN:,St:Columbia,bnw,Romt,H
ThF15,Flying Down to Rio,1933,D:Freeland,"PN:M.C.Cooper, Lou Brock",St:RKO,bnw,Musc,H**
ThF17,George White's Scandals,1934,D:Freeland,PN:Winfield Sheean,St:Fox,bnw,"Comd,Musc",H*
ThF25,So This is London,1939,D:Freeland,PN:,St:Fox,bnw,"Romt, Comd",H
ThF30,Too Many Blondes,1941,D:Freeland,PN:,SU:,prc,Ctxx,aw
TRu10,La Iocandiera,1929,D:Ruggiero,PN:,St:A.G.Film,bws,Dram,aw
WeK10,Brüder,1929,D:Hochbaum,PN:,SU:,prc,Docu,aw
WTh3,Drei von der Tankstelle,1930,D:Thiele,PN:,St:UFA,bnw,Musc,H
WTh5,Lottery Lover,1934,D:Thiele,PN:,SU:,prc,Ctxx,aw
WTh10,The Jungle Princess,1936,D:Thiele,PN:E.Lloyd Sheldon,St:Paramount,bnw,Advt,H*
WTh18,Tarzan Triumphs,1943,D:Thiele,PN:,SU:,prc,Advt,aw
WTh19,Tarzan's Desert Mystery,1943,D:Thiele,PN:,SU:,prc,Advt,aw
WTh23,Madonna's Secret,1946,D:Thiele,PU:,SU:,prc,Horr,classic
xGa10,St.Joan -- The Maid,1929,D:Gastyne,PN:,SU:,prc,Dram,aw
Z4910,Black and Tan,1929,D:Unknown49,PN:,SU:,prc,Musc,aw
Z4911,St. Louis Blues,1929,D:Unknown49,PN:,St:Sack Amusement Enterprises,prc,Musc,aw
Z4914,Hi de Ho,1930,D:Unknown49,PN:,SU:,prc,Musc,aw
Z4915,Jitterbig Party,1931,D:Unknown49,PN:,SU:,prc,Musc,aw
Z4917,Bundle of Blues,1933,D:Unknown49,PN:,SU:,prc,Musc,aw
Z4920,Symphony in Black,1935,D:Unknown49,PN:,SU:,prc,Musc,aw
BDn2,Escape,1932,D:Dean,P:Dean,St:ATP,bnw,Dram,H
BDn5,The Impassive Footman,1932,D:Dean,PN:,SU:,prc,Ctxx,aw
BDn7,The Constant Nymph,1933,D:Dean,P:Balcon,St:Gaumont,bnw,Romt,
BDn9,Java Head,1934,D:Dean,PN:,SU:,prc,Ctxx,aw
BDn11,Sing as We Go,1934,D:Dean,PN:,SU:,prc,Ctxx,aw
BDn13,Lorna Doone,1935,D:Dean,PN:,SU:,prc,Ctxx,aw
BDn20,Twenty-one Days,1939,D:Dean,PN:,SU:,prc,Ctxx,aw
GBW10,The Chinese Bungalow,1930,D:J.B.Williams,PN:,SU:,prc,CTxx,aw
GC1,Grumpy,1930,D:Cukor,PN:,St:Paramount,bnw,Myst,aw
GC2,Virtous Sin,1930,D:Cukor,PU:,SU:,prc,Ctxx,
GC3,The Royal Family of Broadway,1931,D:Cukor,PN:,St:Paramont,prc,Comd,aw
GC4,Tarnished Lady,1931,D:Cukor,PU:,St:Paramount,prc,Dram,
GC5,Girls About Town,1931,D:Cukor,PU:,SU:,prc,Ctxx,
GC6,One Hour with You,1932,D:Cukor,PN:,SU:,prc,Ctxx,aw
GC7,What Price Hollywood,1932,D:Cukor,"P:Selznick, Berman",St:RKO,bnw,Dram,H*
GC8,A Bill of Divorcement,1932,D:Cukor,P:Selznick,St:RKO,bnw,Dram,H**
GC9,Rockabye,1932,D:Cukor,P:Selznick,"St:RKO, Pathe",bnw,Dram,aw
GC10,Our Betters,1933,D:Cukor,P:Selznick,St:RKO,bnw,Comd,aw
GC11,Dinner at Eight,1933,D:Cukor,P:Selznick,St:MGM,bnw,"Comd,Dram","F45, H***"
GC12,Little Women,1933,D:Cukor,P:Selznick,St:RKO,bnw,,"H***, AAN, AAN dir"
GC13,David Copperfield,1934,D:Cukor,P:Selznick,St:MGM,bnw,Dram,"H****, AAN"
GC14,Sylvia Scarlett,1936,D:Cukor,P:Berman,St:RKO,bnw,Comd,
GC15,Romeo and Juliet,1936,D:Cukor,P:Thalberg,St:MGM,bnw,Dram,"AAN, H*"
GC16,Camille,1936,D:Cukor,"PN:Thalberg, Bernard Hyman",St:MGM,bnw,,H**
GC17,Holiday,1936,D:Cukor,PN:Everett Riskin,St:Columbia,bnw,Romt,H***
GC18,Zaza,1938,D:Cukor,PU:,SU:,prc,Ctxx,
GC19,The Women,1939,D:Cukor,PN:Hunt Stromberg,St:MGM,"bnw,Tcol",Dram,H***
GC20,Susan and God,1940,D:Cukor,P:Stromberg,St:MGM,bnw,,H*
GC21,The Philadelphia Story,1940,D:Cukor,P:J.Mankiewicz,St:MGM,bnw,Dram,"H****, AAN, AAN dir [8]"
GC22,A Woman's Face,1942,D:Cukor,P:V.Saville,St:MGM,bnw,Dram,H**
GC23,Two-Faced Woman,1942,D:Cukor,P{G.Reinhardt,St:MGM,bnw,Comd,H*
GC24,Her Cardboard Lover,1942,D:Cukor,PU:,SU:,prc,Ctxx,
GC25,Keeper of the Flame,1943,D:Cukor,PN:,SU:,prc,Ctxx,aw
GC26,Gaslight,1944,D:Cukor,PN:Arthur J. Hornblow jr.,St:MGM,bnw,Dram,"H**, AAN"
GC27,Winged Victory,1944,D:Cukor,PN:,SU:,prc,Ctxx,aw
GC28,Desire Me,1947,D:Cukor,PU:,SU:,prc,Ctxx,
GC29,A Double Life,1947,D:Cukor,P:Hellinger,St:Universal,bnw,,"H**, AAN dir"
GC30,Adam's Rib,1949,D:Cukor,PN:Lawrence Weingarten,St:MGM,bnw,Comd,"NFR,F44, H***"
GC31,Edward My Son,1950,D:D:Cukor,PN:Edwin H. Knopf,St:MGM,bnw,Dram,H
GC32,A Life of her Own,1950,D:Cukor,PU:,SU:,prc,Ctxx,
GC33,Born Yesterday,1950,D:Cukor,P:S.Simon,St:Columbia,bnw,Romt,"F59, AAN,AAN dir"
GC34,The Model and the Marriage Broker,1952,D:Cukor,PU:,SU:,prc,Ctxx,
GC35,The Marrying Kind,1952,D:Cukor,PU:,SU:,prc,Ctxx,
GC36,Pat and Mike,1952,D:Cukor,PN:Lawrence Weingarten,St:MGM,bnw,Romt,
GC37,The Actress,1953,D:Cukor,PU:,SU:,prc,Ctxx,
GC38,It Should Happen to You,1954,D:Cukor,PN:,SU:,prc,Ctxx,aw
GC39,A Star is Born,1954,D:Cukor,PN:,St:Warners,,Musc,aw
GC40,Bhowani Junction,1956,D:Cukor,PN:,SU:,,Dram,aw
GC41,Les Girls,1957,D:Cukor,P:S.C.Siegel,St:MGM,Mcol CS,Musc,"RFP, H*"
GC42,Wild is the Wind,1957,D:Cukor,PU:,SU:,prc,Ctxx,
GC43,Heller in Pink Tights,1959,D:Cukor,PU:,SU:,prc,Ctxx,
GC44,Song Without End,1960,D:Cukor,PN:William Goetz,St:Columbia,Ecol,BioP,H
GC45,Let's Make Love,1960,D:Cukor,PN:Jerry Wald,St:Fox,DeLuxeCSc,Muusc,H*
GC46,The Chapman Report,1962,D:Cukor,PU:,SU:,prc,Ctxx,
GC47,Something's Got To Give,1963,D:Cukor,PN:Henry Weinstein (1962)Henry Schipper(1990),St:Fox,"Tcol,TV","Romt,Comd",
GC48,My Fair Lady,1963,D:Cukor,PN:J.Warner,"St:CBS, Warners",Tcol,Musc,"AA, H***"
GC49,Justine,1969,D:Cukor,PU:,SU:,prc,Ctxx,
GC50,Travels with my Aunt,1973,D:Cukor,PU:,SU:,prc,Ctxx,
GC51,Love Among the Ruins,1975,D:Cukor,PU:,SU:,TV,Ctxx,
GC52,The Blue Bird,1976,D:Cukor,PN:Edward Lewis,"St:Fox, Lenfilm",Tcol,Fant,H
GC53,The Corn is Green,1979,D:Cukor,PU:,SU:,TV,Ctxx,
GC54,Rich and Famous,1981,D:Cukor,PN:William Allyn,St:MGM,Mcol,Dram,"H, CG**"
HAA10,Laughter,1930,D:dAbbabie,P:Selznick,St:Paramount,bnw,"Comd,Romt",aw
HAA15,Topaze,1933,D:dAbbabie,P:Selznick,St:RKO,bnw,"Comd,Romt",aw
HHu1,Hell's Angels,1930,D:H.Hughes,P:H.Hughes,SU:,"bnw,col",Advt,H****
HHu2,The Outlaw,1948,D:H.Hughes,P:H.Hughes,SU:,,West,H*
HHu3,Vendetta,1950,D:H.Hughes,P:H.Hughes,SU:,prc,Ctxx,aw
HMF10,Harmony at Home,1930,D:MacFadden,PN:,SU:,prc,Ctxx,aw
HMF20,Charlie Chan Carries On,1931,D:MacFadden,PN:,St:Fox,bnw,"Myst,Comd",
HMF22,Black Camel,1931,D:MacFadden,PN:,St:Fox,bnw,"Myst,Comd",
HMF25,Charlie Chan's Greatest Case,1933,D:MacFadden,PN:,St:Fox,bnw,"Myst,Comd",
HMF30,Second Hand Wife,1933,D:MacFadden,PN:,SU:,,Comd,
HoH10,The Big Pond,1930,D:Henley,PN:,SU:,prc,Musc,aw
HoH12,Bad Sister,1931,D:Henley,PU:,S:Universal,bnw,Romt,aw
HPC10,The Silent Enemy,1930,D:H.Carver,PN:,St:Paramount,sbw,Docu,aw
IB8,Broken Blossoms,1936,D:Brahm,PN:Julius Hagen,St:Twickenham,bnw,Dram,aw
